id,title,rate_per_hour,skill_list,level,location_city,employment_type,company_sector
40,Frontend Developer,20.67,"AWS, MySQL, Node.js, Pandas, Python, Vue",Mid,Yerevan,Full-time,FinTech
41,Mobile Developer,18.15,"Terraform, Celery, GCP, CI/CD, REST API",Mid,Vanadzor,Contract,HealthTech
42,QA Engineer,31.7,"PostgreSQL, Django, FastAPI, Git, Docker, AWS, MongoDB",Senior,Yerevan,Contract,FinTech
43,Mobile Developer,11.0,"PostgreSQL, Django, SQL, Docker",Mid,Yerevan,Full-time,EdTech
44,Backend Developer,19.16,"AWS, Docker, Flask, CI/CD",Mid,Gyumri,Full-time,Gaming
45,QA Engineer,23.92,"MySQL, CI/CD, Docker, MongoDB, GCP, Scikit-learn, REST API",Mid,Yerevan,Full-time,HealthTech
46,Fullstack Developer,9.27,"Git, GraphQL, MySQL, GCP",Junior,Yerevan,Full-time,Gaming
47,Site Reliability Engineer,36.24,"Terraform, MongoDB, Kubernetes, Pandas, SQL, Vue, Celery",Senior,Yerevan,Full-time,EdTech
48,Machine Learning Engineer,36.8,"MySQL, Celery, CI/CD",Senior,Remote,Full-time,Gaming
49,Software Engineer,28.81,"Node.js, Scikit-learn, Vue, JavaScript, Python",Mid,Yerevan,Contract,FinTech
50,Backend Developer,12.27,"Docker, Terraform, GraphQL, Vue, GCP, Redis",Junior,Yerevan,Full-time,Software
51,Mobile Developer,12.01,"Node.js, React, SQL, Celery, Kubernetes, Django",Junior,Yerevan,Full-time,Software
52,Site Reliability Engineer,13.55,"REST API, Git, MongoDB, Kubernetes, NumPy, Celery, Docker",Junior,Vanadzor,Full-time,E-commerce
53,Site Reliability Engineer,19.53,"NumPy, Node.js, Terraform, PostgreSQL, Celery",Mid,Yerevan,Part-time,E-commerce
54,Machine Learning Engineer,22.36,"PostgreSQL, MongoDB, REST API, Flask",Mid,Yerevan,Full-time,HealthTech
55,Fullstack Developer,9.88,"Docker, MongoDB, REST API",Junior,Yerevan,Full-time,FinTech
56,Machine Learning Engineer,19.12,"NumPy, GraphQL, GCP",Mid,Yerevan,Full-time,EdTech
57,Machine Learning Engineer,4.48,"Pandas, Scikit-learn, REST API, Git, Node.js, Redis, CI/CD",Intern,Yerevan,Full-time,E-commerce
58,DevOps Engineer,19.18,"Pandas, React, Kubernetes, JavaScript, Git, REST API",Mid,Yerevan,Full-time,Gaming
59,Backend Developer,35.11,"JavaScript, Kubernetes, React, Django, PostgreSQL, GCP",Senior,Yerevan,Full-time,Software
60,QA Engineer,13.55,"NumPy, Docker, PostgreSQL, Flask, Redis",Junior,Yerevan,Full-time,E-commerce
61,Backend Developer,56.34,"NumPy, Terraform, Django",Senior,Yerevan,Contract,FinTech
62,Backend Developer,32.39,"JavaScript, Redis, CI/CD, FastAPI",Senior,Yerevan,Full-time,FinTech
63,Product Engineer,34.0,"Git, Pandas, SQL, FastAPI",Senior,Yerevan,Full-time,HealthTech
64,Fullstack Developer,60.93,"CI/CD, GCP, NumPy, SQL, Vue, Flask, GraphQL",Lead,Yerevan,Full-time,HealthTech
65,Software Engineer,6.55,"Scikit-learn, FastAPI, GraphQL, Django, AWS, REST API, Docker",Junior,Yerevan,Full-time,Gaming
66,Software Engineer,15.25,"FastAPI, Docker, AWS, Terraform, Kubernetes, JavaScript",Mid,Yerevan,Full-time,E-commerce
67,Mobile Developer,7.06,"NumPy, Redis, Kubernetes, Docker, GraphQL, PostgreSQL, MongoDB",Junior,Yerevan,Full-time,EdTech
68,Data Scientist,44.61,"GraphQL, Git, CI/CD, GCP, MongoDB, Python",Senior,Yerevan,Part-time,FinTech
69,Machine Learning Engineer,51.46,"PostgreSQL, Git, SQL, REST API, Python",Senior,Yerevan,Full-time,HealthTech
70,Site Reliability Engineer,56.7,"NumPy, Node.js, SQL, Redis, Terraform, Pandas, Kubernetes",Senior,Yerevan,Full-time,E-commerce
71,Backend Developer,9.59,"AWS, Redis, REST API, Celery, Scikit-learn, Docker, Pandas",Junior,Yerevan,Full-time,HealthTech
72,QA Engineer,24.24,"Pandas, Vue, MongoDB",Mid,Yerevan,Full-time,FinTech
73,Frontend Developer,30.03,"Pandas, Redis, PostgreSQL, GraphQL",Senior,Remote,Full-time,FinTech
74,Site Reliability Engineer,20.49,"AWS, React, MySQL, Python",Mid,Remote,Full-time,HealthTech
75,Site Reliability Engineer,8.94,"Terraform, NumPy, Redis, FastAPI",Junior,Yerevan,Full-time,HealthTech
76,Backend Developer,15.03,"PostgreSQL, Redis, FastAPI",Mid,Yerevan,Full-time,FinTech
77,Frontend Developer,18.64,"JavaScript, Scikit-learn, GraphQL, MySQL",Mid,Yerevan,Full-time,Software
78,Frontend Developer,40.26,"Scikit-learn, Git, Node.js, Celery, GCP, Kubernetes, Terraform",Lead,Yerevan,Full-time,EdTech
79,DevOps Engineer,55.91,"Git, Pandas, FastAPI",Senior,Remote,Full-time,EdTech
80,Data Scientist,19.56,"REST API, Flask, React, Python",Mid,Yerevan,Full-time,FinTech
81,Mobile Developer,18.36,"SQL, MySQL, Kubernetes, Flask, CI/CD",Mid,Yerevan,Full-time,FinTech
82,Data Scientist,51.47,"Docker, FastAPI, REST API, Node.js",Senior,Gyumri,Full-time,Gaming
83,Software Engineer,12.09,"Scikit-learn, MySQL, Git, Pandas",Junior,Yerevan,Full-time,Software
84,Product Engineer,39.22,"PostgreSQL, Celery, REST API, Redis, Kubernetes, Flask",Senior,Yerevan,Full-time,HealthTech
85,Product Engineer,3.05,"Flask, Node.js, CI/CD",Intern,Yerevan,Full-time,HealthTech
86,Product Engineer,19.02,"Django, NumPy, React, Redis, Celery, Terraform, Kubernetes",Mid,Yerevan,Full-time,HealthTech
87,DevOps Engineer,13.43,"Redis, AWS, Docker",Junior,Yerevan,Full-time,E-commerce
88,QA Engineer,14.8,"MySQL, CI/CD, GCP, REST API, Django, Kubernetes",Mid,Yerevan,Full-time,E-commerce
89,Frontend Developer,14.05,"Python, CI/CD, REST API, Kubernetes, Docker, Django, Vue",Mid,Yerevan,Contract,E-commerce
90,Site Reliability Engineer,14.75,"PostgreSQL, REST API, JavaScript, MySQL",Mid,Gyumri,Full-time,Software
91,Machine Learning Engineer,34.9,"Scikit-learn, Node.js, SQL, React, MySQL, REST API, Python",Senior,Yerevan,Full-time,Gaming
92,Site Reliability Engineer,22.74,"FastAPI, Terraform, JavaScript, Redis, MySQL, Celery",Mid,Yerevan,Full-time,Software
93,DevOps Engineer,26.79,"JavaScript, GCP, Vue, Git, Celery, Scikit-learn, Flask",Mid,Yerevan,Full-time,E-commerce
94,DevOps Engineer,32.57,"Python, MySQL, Pandas, GraphQL, CI/CD",Senior,Vanadzor,Full-time,EdTech
95,Machine Learning Engineer,46.17,"NumPy, REST API, GCP, Kubernetes, MongoDB, Vue, Node.js",Senior,Yerevan,Full-time,HealthTech
96,Product Engineer,25.31,"SQL, GCP, NumPy, CI/CD, Terraform, JavaScript",Mid,Vanadzor,Full-time,HealthTech
97,Machine Learning Engineer,80.98,"Kubernetes, FastAPI, Celery",Lead,Yerevan,Contract,HealthTech
98,Machine Learning Engineer,5.97,"Redis, Scikit-learn, PostgreSQL",Intern,Yerevan,Part-time,FinTech
99,QA Engineer,17.36,"GCP, MongoDB, Terraform, SQL, Redis, REST API, Django",Mid,Yerevan,Full-time,HealthTech
100,Product Engineer,11.04,"Docker, FastAPI, NumPy",Junior,Yerevan,Part-time,FinTech
101,Software Engineer,57.42,"Django, MongoDB, Scikit-learn",Senior,Yerevan,Full-time,HealthTech
102,Backend Developer,9.02,"GraphQL, CI/CD, React, Pandas, SQL, Flask",Junior,Yerevan,Full-time,EdTech
103,Product Engineer,27.58,"Node.js, Kubernetes, Terraform, PostgreSQL",Senior,Yerevan,Full-time,EdTech
104,Machine Learning Engineer,8.7,"React, Flask, Kubernetes, AWS, GraphQL, MySQL, Docker",Junior,Yerevan,Full-time,HealthTech
105,DevOps Engineer,24.95,"Node.js, GCP, GraphQL",Mid,Yerevan,Contract,E-commerce
106,QA Engineer,27.32,"PostgreSQL, Python, GraphQL, CI/CD, Django, Git",Mid,Remote,Full-time,Gaming
107,Machine Learning Engineer,64.61,"Scikit-learn, AWS, Node.js, Terraform, Vue, Git, PostgreSQL",Senior,Dilijan,Full-time,FinTech
108,Software Engineer,40.18,"Terraform, Django, MySQL",Senior,Gyumri,Full-time,FinTech
109,Machine Learning Engineer,6.75,"Pandas, Docker, React, Vue, JavaScript",Intern,Yerevan,Full-time,HealthTech
110,Site Reliability Engineer,47.03,"PostgreSQL, Redis, Scikit-learn, MySQL",Senior,Yerevan,Full-time,HealthTech
111,QA Engineer,58.47,"Scikit-learn, REST API, AWS, Flask, GCP, Python",Senior,Yerevan,Full-time,FinTech
112,DevOps Engineer,18.16,"GraphQL, GCP, Terraform, AWS, FastAPI",Mid,Yerevan,Full-time,Gaming
113,Software Engineer,10.51,"Git, Node.js, Terraform, Flask, Kubernetes",Junior,Yerevan,Part-time,EdTech
114,DevOps Engineer,26.06,"Redis, FastAPI, Node.js, REST API, JavaScript",Mid,Yerevan,Full-time,Software
115,Mobile Developer,19.45,"GraphQL, Pandas, NumPy, JavaScript, Docker, Terraform",Mid,Yerevan,Full-time,EdTech
116,Frontend Developer,35.83,"SQL, AWS, Vue",Senior,Yerevan,Part-time,HealthTech
117,Machine Learning Engineer,28.84,"REST API, Terraform, AWS, Django, GCP",Mid,Yerevan,Full-time,Gaming
118,DevOps Engineer,14.48,"CI/CD, Vue, Terraform",Junior,Yerevan,Full-time,E-commerce
119,Software Engineer,23.91,"Scikit-learn, GraphQL, Vue, Flask",Mid,Yerevan,Full-time,FinTech
120,Site Reliability Engineer,12.48,"Scikit-learn, Git, Python, PostgreSQL",Junior,Yerevan,Part-time,HealthTech
121,Fullstack Developer,69.34,"JavaScript, Python, AWS",Lead,Yerevan,Full-time,Software
122,Data Scientist,23.9,"Celery, FastAPI, Pandas, Flask, Redis, Kubernetes",Mid,Yerevan,Full-time,FinTech
123,QA Engineer,17.11,"Pandas, Scikit-learn, CI/CD",Mid,Yerevan,Full-time,EdTech
124,Site Reliability Engineer,14.35,"Docker, CI/CD, FastAPI, Redis, Kubernetes, Flask",Mid,Yerevan,Full-time,E-commerce
125,Frontend Developer,14.7,"REST API, SQL, MongoDB, GCP, Git, Celery, MySQL",Mid,Yerevan,Full-time,EdTech
126,Machine Learning Engineer,25.3,"Pandas, Vue, Docker, Kubernetes, Node.js, Scikit-learn, MongoDB",Mid,Yerevan,Full-time,Software
127,Machine Learning Engineer,15.11,"AWS, JavaScript, CI/CD, Redis, Flask",Mid,Yerevan,Full-time,HealthTech
128,Frontend Developer,35.18,"Scikit-learn, JavaScript, REST API, Django, GraphQL",Senior,Yerevan,Full-time,Gaming
129,Site Reliability Engineer,27.57,"Pandas, Django, MySQL, Git, Scikit-learn, AWS",Mid,Yerevan,Full-time,Gaming
130,Frontend Developer,12.87,"AWS, REST API, FastAPI",Mid,Yerevan,Full-time,FinTech
131,DevOps Engineer,17.21,"CI/CD, Terraform, REST API, Python, Git, PostgreSQL, SQL",Mid,Gyumri,Full-time,EdTech
132,Fullstack Developer,11.25,"React, JavaScript, GraphQL",Junior,Gyumri,Part-time,HealthTech
133,Software Engineer,21.47,"Pandas, Celery, Vue",Mid,Yerevan,Full-time,Software
134,Mobile Developer,16.77,"NumPy, GraphQL, Git, Flask, Django",Mid,Yerevan,Full-time,Gaming
135,Fullstack Developer,10.91,"CI/CD, Docker, Redis, Git, Kubernetes, NumPy",Junior,Yerevan,Full-time,HealthTech
136,DevOps Engineer,6.73,"CI/CD, GraphQL, Redis, Celery, MySQL",Junior,Yerevan,Full-time,Software
137,Backend Developer,6.97,"Vue, NumPy, JavaScript, PostgreSQL, MySQL",Junior,Remote,Full-time,FinTech
138,QA Engineer,9.17,"REST API, SQL, Node.js, Celery, Scikit-learn, AWS",Junior,Yerevan,Full-time,FinTech
139,Frontend Developer,14.08,"MongoDB, GraphQL, Docker",Mid,Yerevan,Full-time,E-commerce
140,Product Engineer,19.1,"MongoDB, React, Scikit-learn",Mid,Yerevan,Full-time,E-commerce
141,Product Engineer,21.84,"Node.js, Docker, GraphQL",Mid,Yerevan,Full-time,E-commerce
142,Mobile Developer,23.72,"MongoDB, NumPy, React, Flask",Mid,Yerevan,Full-time,HealthTech
143,Site Reliability Engineer,20.71,"Pandas, Terraform, JavaScript, Node.js, FastAPI",Mid,Yerevan,Full-time,HealthTech
144,Fullstack Developer,9.47,"React, NumPy, Terraform",Junior,Yerevan,Full-time,Gaming
145,Machine Learning Engineer,14.94,"Terraform, Scikit-learn, Git, MongoDB, NumPy, SQL, JavaScript",Mid,Yerevan,Full-time,Gaming
146,Machine Learning Engineer,9.94,"Django, AWS, Celery, Flask, MySQL, Kubernetes, Terraform",Junior,Yerevan,Full-time,HealthTech
147,Backend Developer,7.62,"Git, Celery, GCP, Kubernetes, GraphQL, REST API, Django",Junior,Vanadzor,Full-time,Software
148,Machine Learning Engineer,44.43,"Celery, JavaScript, Django, Kubernetes, FastAPI, MongoDB",Senior,Yerevan,Full-time,EdTech
149,Frontend Developer,18.89,"Celery, Scikit-learn, Git, React, AWS, CI/CD",Mid,Yerevan,Full-time,E-commerce
150,DevOps Engineer,15.87,"Flask, MongoDB, FastAPI, REST API, CI/CD",Mid,Gyumri,Full-time,Software
151,Mobile Developer,8.29,"MongoDB, Flask, GraphQL, CI/CD",Junior,Yerevan,Full-time,EdTech
152,Fullstack Developer,55.13,"JavaScript, Git, SQL, Flask, MySQL, REST API",Senior,Yerevan,Full-time,Gaming
153,Mobile Developer,20.23,"Flask, Terraform, CI/CD, Docker, Celery, AWS, Python",Mid,Yerevan,Full-time,Gaming
154,QA Engineer,21.32,"Node.js, JavaScript, Flask, MySQL",Mid,Remote,Full-time,E-commerce
155,Frontend Developer,19.52,"CI/CD, MongoDB, NumPy",Mid,Yerevan,Full-time,EdTech
156,Product Engineer,10.87,"Scikit-learn, React, Pandas, Kubernetes, Django, Docker, AWS",Junior,Yerevan,Full-time,Gaming
157,Software Engineer,40.38,"Node.js, REST API, Scikit-learn, MySQL, Redis, Vue",Senior,Remote,Full-time,Gaming
158,QA Engineer,17.97,"Celery, Scikit-learn, Docker, React, Vue, Git",Mid,Yerevan,Full-time,HealthTech
159,Fullstack Developer,49.48,"FastAPI, SQL, Celery, Scikit-learn, MySQL, Flask, React",Senior,Yerevan,Full-time,HealthTech
160,DevOps Engineer,19.7,"Kubernetes, AWS, Python, Docker",Mid,Yerevan,Full-time,Software
161,Backend Developer,21.84,"Node.js, Python, MongoDB, FastAPI, SQL",Mid,Yerevan,Full-time,Software
162,Software Engineer,21.07,"NumPy, SQL, Redis, Kubernetes",Mid,Yerevan,Full-time,E-commerce
163,Product Engineer,5.78,"Pandas, Git, Celery, Docker, FastAPI, MySQL, Node.js",Intern,Yerevan,Full-time,FinTech
164,DevOps Engineer,13.59,"Flask, FastAPI, Redis, Git, REST API, Python",Junior,Yerevan,Full-time,EdTech
165,Software Engineer,16.85,"Git, AWS, Node.js",Mid,Yerevan,Full-time,E-commerce
166,Product Engineer,22.27,"Celery, REST API, Scikit-learn",Mid,Yerevan,Full-time,HealthTech
167,Site Reliability Engineer,25.58,"AWS, PostgreSQL, Pandas, Python, Scikit-learn, Flask",Mid,Yerevan,Full-time,Gaming
168,QA Engineer,9.62,"JavaScript, Django, AWS, REST API, MongoDB",Junior,Yerevan,Full-time,EdTech
169,Software Engineer,8.59,"Terraform, React, JavaScript, Flask, Kubernetes, Django",Junior,Gyumri,Full-time,Gaming
170,DevOps Engineer,12.16,"Celery, GCP, REST API, Redis, PostgreSQL",Junior,Gyumri,Part-time,HealthTech
171,Backend Developer,27.6,"PostgreSQL, FastAPI, Scikit-learn, AWS, Docker",Senior,Yerevan,Full-time,Software
172,Mobile Developer,53.6,"SQL, Redis, AWS, Celery, PostgreSQL, Flask",Senior,Dilijan,Full-time,FinTech
173,Mobile Developer,7.77,"MongoDB, FastAPI, Flask, CI/CD, MySQL",Junior,Yerevan,Full-time,EdTech
174,DevOps Engineer,16.03,"Kubernetes, Django, Pandas, AWS, Git",Mid,Yerevan,Full-time,E-commerce
175,Mobile Developer,11.74,"AWS, Celery, Pandas, CI/CD, React, Python",Junior,Remote,Part-time,Software
176,Fullstack Developer,53.31,"Node.js, NumPy, Terraform",Senior,Yerevan,Full-time,FinTech
177,QA Engineer,33.91,"AWS, Scikit-learn, Kubernetes, Flask, GraphQL, JavaScript",Mid,Remote,Full-time,FinTech
178,Site Reliability Engineer,23.22,"Pandas, React, Redis",Mid,Yerevan,Full-time,Software
179,Site Reliability Engineer,21.84,"Vue, Git, MySQL, SQL, Redis, Scikit-learn",Mid,Yerevan,Full-time,HealthTech
180,Frontend Developer,9.03,"Flask, CI/CD, MongoDB, NumPy, AWS, Scikit-learn",Junior,Yerevan,Full-time,Gaming
181,Site Reliability Engineer,23.99,"Scikit-learn, AWS, Celery, Node.js",Mid,Dilijan,Part-time,Gaming
182,Frontend Developer,57.58,"AWS, REST API, GraphQL",Lead,Gyumri,Full-time,E-commerce
183,QA Engineer,18.17,"MySQL, GCP, SQL",Mid,Remote,Full-time,Software
184,Machine Learning Engineer,17.09,"MongoDB, Terraform, Flask, Kubernetes",Mid,Gyumri,Full-time,Software
185,Machine Learning Engineer,18.17,"React, NumPy, JavaScript, Docker, Celery, Django, FastAPI",Mid,Yerevan,Part-time,EdTech
186,Site Reliability Engineer,8.79,"AWS, Celery, MySQL, Flask",Junior,Yerevan,Full-time,Gaming
187,DevOps Engineer,7.91,"Git, REST API, Flask, Celery, Terraform",Junior,Remote,Full-time,Gaming
188,Fullstack Developer,23.05,"MongoDB, GraphQL, Django, Python, Flask, Pandas, NumPy",Mid,Yerevan,Full-time,EdTech
189,DevOps Engineer,26.38,"Redis, Terraform, REST API",Mid,Gyumri,Full-time,Gaming
190,DevOps Engineer,28.06,"MySQL, Kubernetes, Flask, SQL, Django, React",Mid,Yerevan,Full-time,Gaming
191,Machine Learning Engineer,33.78,"SQL, MongoDB, Pandas, AWS, GCP",Mid,Yerevan,Full-time,FinTech
192,Fullstack Developer,34.54,"FastAPI, PostgreSQL, Kubernetes, Node.js, JavaScript, Scikit-learn",Senior,Yerevan,Full-time,FinTech
193,Backend Developer,10.26,"MongoDB, GraphQL, Pandas, Vue",Junior,Yerevan,Full-time,FinTech
194,Fullstack Developer,28.11,"Python, Flask, GCP, Celery, Kubernetes, Node.js",Mid,Yerevan,Full-time,HealthTech
195,Data Scientist,16.4,"MySQL, REST API, Python, FastAPI, Docker, JavaScript",Mid,Yerevan,Full-time,EdTech
196,DevOps Engineer,43.1,"GraphQL, REST API, Vue",Senior,Gyumri,Full-time,E-commerce
197,QA Engineer,14.03,"Git, CI/CD, FastAPI, JavaScript, GCP",Mid,Yerevan,Full-time,EdTech
198,QA Engineer,48.33,"Git, Celery, GCP, Django",Senior,Yerevan,Part-time,FinTech
199,Backend Developer,5.21,"JavaScript, Git, Celery, Scikit-learn, MongoDB, NumPy",Intern,Yerevan,Full-time,EdTech
200,QA Engineer,11.53,"MongoDB, Celery, NumPy, REST API, Redis, GraphQL, MySQL",Junior,Remote,Full-time,HealthTech
201,Machine Learning Engineer,39.6,"MySQL, Pandas, SQL, Terraform, Python, Git, Redis",Senior,Yerevan,Full-time,E-commerce
202,DevOps Engineer,98.03,"Pandas, Django, GraphQL, Redis",Lead,Gyumri,Full-time,EdTech
203,Fullstack Developer,13.85,"CI/CD, Node.js, Django, GraphQL",Mid,Yerevan,Full-time,E-commerce
204,Frontend Developer,8.98,"Docker, Celery, NumPy, Git",Junior,Yerevan,Full-time,E-commerce
205,Machine Learning Engineer,56.53,"Vue, REST API, MongoDB, CI/CD, Redis, Celery, GCP",Senior,Yerevan,Full-time,FinTech
206,QA Engineer,74.79,"CI/CD, NumPy, Pandas, Terraform, Scikit-learn",Lead,Yerevan,Full-time,EdTech
207,DevOps Engineer,23.31,"Node.js, MySQL, NumPy, SQL, Vue",Mid,Yerevan,Full-time,EdTech
208,Machine Learning Engineer,27.04,"MySQL, FastAPI, GraphQL, CI/CD, REST API",Mid,Yerevan,Part-time,Gaming
209,Mobile Developer,36.26,"Django, MySQL, SQL, Flask, AWS",Senior,Yerevan,Full-time,FinTech
210,Machine Learning Engineer,18.49,"REST API, SQL, PostgreSQL, JavaScript, FastAPI",Mid,Yerevan,Full-time,EdTech
211,Product Engineer,33.53,"Terraform, Node.js, Django, FastAPI",Senior,Yerevan,Full-time,EdTech
212,Mobile Developer,26.72,"REST API, React, Docker",Mid,Yerevan,Full-time,FinTech
213,Software Engineer,48.75,"MongoDB, MySQL, Terraform, Django, NumPy",Senior,Vanadzor,Full-time,FinTech
214,Frontend Developer,18.52,"Docker, React, Django, GCP",Mid,Yerevan,Full-time,Software
215,Machine Learning Engineer,15.13,"Python, MySQL, GraphQL",Junior,Yerevan,Part-time,HealthTech
216,Product Engineer,11.15,"Celery, Redis, JavaScript, Scikit-learn, Kubernetes, PostgreSQL, Vue",Junior,Remote,Full-time,Gaming
217,Frontend Developer,24.15,"Python, Pandas, MongoDB, Scikit-learn",Mid,Yerevan,Full-time,Gaming
218,DevOps Engineer,17.63,"Docker, Celery, MongoDB, Flask, GCP, FastAPI",Mid,Gyumri,Full-time,Gaming
219,Fullstack Developer,80.53,"GCP, Node.js, Kubernetes, NumPy, PostgreSQL",Lead,Yerevan,Part-time,Software
220,QA Engineer,18.5,"SQL, Node.js, Django, CI/CD, FastAPI",Mid,Yerevan,Full-time,Gaming
221,Machine Learning Engineer,21.55,"SQL, FastAPI, Terraform, MySQL, AWS",Mid,Yerevan,Full-time,Gaming
222,Product Engineer,12.05,"AWS, Docker, SQL, REST API, Redis, Pandas, Vue",Junior,Remote,Full-time,E-commerce
223,Data Scientist,31.63,"Celery, SQL, AWS, Flask, GraphQL, FastAPI",Mid,Yerevan,Full-time,EdTech
224,Backend Developer,47.34,"React, MongoDB, Celery, Kubernetes",Senior,Dilijan,Full-time,EdTech
225,Frontend Developer,21.34,"Scikit-learn, Django, Kubernetes, JavaScript, Celery, Docker",Mid,Yerevan,Full-time,EdTech
226,Machine Learning Engineer,15.66,"GCP, PostgreSQL, Python",Mid,Yerevan,Full-time,HealthTech
227,Data Scientist,27.16,"Django, Flask, Redis, Scikit-learn, MySQL, Docker, React",Mid,Yerevan,Full-time,Software
228,Fullstack Developer,47.13,"GCP, Kubernetes, Flask, CI/CD, REST API",Senior,Remote,Full-time,E-commerce
229,Fullstack Developer,18.71,"Celery, JavaScript, Pandas, Node.js, Python, CI/CD",Mid,Yerevan,Full-time,EdTech
230,DevOps Engineer,25.0,"Node.js, Kubernetes, AWS, JavaScript",Mid,Yerevan,Full-time,E-commerce
231,DevOps Engineer,10.49,"Git, NumPy, Python, Node.js, Vue, Flask",Junior,Vanadzor,Full-time,Software
232,Frontend Developer,24.65,"Pandas, Django, GCP, Kubernetes",Mid,Yerevan,Full-time,Software
233,Data Scientist,28.34,"MySQL, Node.js, Pandas, GraphQL, MongoDB, SQL, Git",Mid,Gyumri,Full-time,FinTech
234,Software Engineer,35.55,"Node.js, Docker, MySQL, PostgreSQL, Django, REST API, GraphQL",Senior,Yerevan,Part-time,Gaming
